直接/間接,排放型式,溫室氣體種類,原(燃)物料或產品代碼,原(燃)物料或產品名稱
直接,移動燃燒,N2O,170030,高級汽油
直接,移動燃燒,CO2,170031,92無鉛汽油
直接,移動燃燒,CH4,170031,92無鉛汽油
直接,移動燃燒,N2O,170031,92無鉛汽油
直接,移動燃燒,CO2,170032,95無鉛汽油
直接,移動燃燒,CH4,170032,95無鉛汽油
直接,移動燃燒,N2O,170032,95無鉛汽油
直接,移動燃燒,CO2,170033,98無鉛汽油
直接,移動燃燒,CH4,170033,98無鉛汽油
直接,移動燃燒,N2O,170033,98無鉛汽油
直接,移動燃燒,CO2,170040,二行程無鉛汽油
直接,移動燃燒,CH4,170040,二行程無鉛汽油
直接,移動燃燒,N2O,170040,二行程無鉛汽油
直接,移動燃燒,CO2,170099,其他汽油
直接,移動燃燒,CH4,170099,其他汽油
直接,移動燃燒,N2O,170099,其他汽油
直接,移動燃燒,CO2,350008,液化石油氣
直接,移動燃燒,CH4,350008,液化石油氣
直接,移動燃燒,N2O,350008,液化石油氣
,,,,
再生能源憑證使用係數,,,,
範疇2,外購電力,CO2,GG3502,REC登載電力使用-電證合一
,,,,
範疇二,,,,
直接/間接,排放型式,溫室氣體種類,原(燃)物料或產品代碼,原(燃)物料或產品名稱
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
間接,外購電力,CO2,350099,其他電力
